bank_account,location_type,age_of_respondent,education_level,job_type
No,Urban,19,Secondary education,Remittance Dependent
No,Urban,40,Primary education,Self employed
No,Urban,65,No formal education,Remittance Dependent
No,Urban,70,No formal education,Self employed
No,Rural,23,Primary education,Self employed
No,Urban,30,Primary education,Remittance Dependent
No,Urban,41,Primary education,Self employed
No,Rural,44,Primary education,Self employed
No,Rural,20,Primary education,Formally employed Private
No,Rural,22,Primary education,No Income
No,Urban,53,Primary education,Self employed
No,Urban,30,No formal education,Self employed
No,Urban,21,Primary education,Self employed
No,Urban,41,Primary education,Self employed
Yes,Urban,36,Primary education,Self employed
No,Urban,26,Primary education,Self employed
Yes,Rural,42,Primary education,Informally employed
No,Urban,29,Primary education,Self employed
No,Urban,17,Primary education,No Income
No,Urban,59,Primary education,Self employed
No,Rural,57,Primary education,Self employed
No,Rural,43,No formal education,Self employed
No,Rural,21,Tertiary education,Remittance Dependent
No,Urban,48,Primary education,No Income
No,Urban,30,Primary education,Informally employed
No,Urban,45,No formal education,Self employed
No,Urban,49,No formal education,Self employed
No,Urban,35,Primary education,Informally employed
No,Urban,29,Primary education,Remittance Dependent
No,Urban,24,Secondary education,Self employed
No,Urban,100,Primary education,Self employed
No,Urban,47,Primary education,Self employed
Yes,Rural,59,Vocational/Specialised training,Formally employed Private
No,Urban,85,No formal education,Self employed
No,Urban,42,Primary education,Self employed
No,Rural,17,Secondary education,Remittance Dependent
No,Urban,47,Primary education,Self employed
No,Rural,90,No formal education,Government Dependent
No,Urban,20,Primary education,No Income
No,Urban,80,No formal education,Self employed
No,Urban,50,No formal education,Self employed
No,Rural,25,Vocational/Specialised training,Formally employed Private
No,Urban,43,Primary education,Self employed
No,Urban,23,Primary education,Remittance Dependent
No,Urban,24,Primary education,Self employed
No,Urban,49,Primary education,Self employed
No,Urban,42,Primary education,Informally employed
No,Urban,29,Primary education,Self employed
No,Urban,20,Primary education,Remittance Dependent
No,Rural,40,Primary education,Self employed
No,Urban,85,Primary education,Remittance Dependent
No,Urban,39,Primary education,Self employed
No,Urban,50,Primary education,Informally employed
Yes,Rural,30,Primary education,Self employed
No,Urban,24,Secondary education,Formally employed Private
No,Urban,27,Primary education,Self employed
No,Urban,33,Primary education,Government Dependent
No,Urban,28,Primary education,Self employed
No,Urban,38,No formal education,Self employed
No,Urban,19,Primary education,Self employed
No,Urban,40,Secondary education,Formally employed Private
No,Urban,55,Primary education,Self employed
No,Urban,27,Primary education,Formally employed Private
Yes,Rural,28,Tertiary education,Formally employed Private
Yes,Rural,69,Primary education,Remittance Dependent
No,Urban,38,Primary education,Remittance Dependent
Yes,Urban,61,Primary education,Self employed
No,Urban,50,Primary education,Self employed
No,Urban,20,Secondary education,Self employed
No,Urban,65,No formal education,Government Dependent
Yes,Urban,40,Primary education,Other Income
No,Urban,28,Primary education,Informally employed
No,Urban,53,Primary education,Self employed
No,Urban,25,Primary education,Self employed
No,Rural,32,No formal education,Informally employed
No,Urban,51,Primary education,Self employed
No,Urban,40,No formal education,Self employed
No,Urban,22,Primary education,Self employed
No,Urban,54,Primary education,Remittance Dependent
No,Urban,57,Primary education,Self employed
No,Rural,27,Vocational/Specialised training,Informally employed
No,Urban,16,Primary education,No Income
No,Urban,20,Tertiary education,No Income
No,Urban,68,Primary education,Self employed
No,Urban,63,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Urban,60,No formal education,Informally employed
No,Urban,46,Primary education,Self employed
No,Urban,24,Tertiary education,No Income
Yes,Rural,67,Tertiary education,Remittance Dependent
No,Rural,47,Primary education,Informally employed
No,Rural,22,Tertiary education,No Income
No,Rural,30,Primary education,Self employed
No,Urban,50,No formal education,Self employed
No,Urban,42,Primary education,Informally employed
No,Urban,24,Secondary education,Informally employed
No,Urban,39,Tertiary education,Self employed
Yes,Rural,31,Vocational/Specialised training,Formally employed Private
No,Rural,45,Primary education,Self employed
Yes,Rural,25,Tertiary education,Informally employed
No,Urban,50,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Rural,77,No formal education,Self employed
No,Urban,68,No formal education,Remittance Dependent
No,Rural,24,Tertiary education,No Income
No,Urban,26,Primary education,Informally employed
No,Rural,52,Primary education,Remittance Dependent
No,Urban,50,Primary education,Self employed
No,Urban,38,Primary education,Self employed
No,Urban,54,Primary education,Self employed
Yes,Rural,59,Primary education,Informally employed
No,Urban,63,Primary education,Self employed
No,Urban,60,Primary education,Self employed
No,Urban,18,Primary education,Self employed
No,Urban,33,Primary education,Self employed
Yes,Urban,30,Vocational/Specialised training,Formally employed Private
No,Urban,25,Primary education,No Income
No,Urban,23,Primary education,Informally employed
No,Urban,36,Primary education,Self employed
No,Urban,75,No formal education,Government Dependent
No,Urban,35,Primary education,Self employed
No,Urban,44,No formal education,Informally employed
No,Rural,35,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Rural,45,Primary education,Self employed
No,Urban,30,Primary education,Self employed
No,Urban,31,Tertiary education,Self employed
No,Rural,20,Secondary education,Remittance Dependent
No,Urban,20,Secondary education,Informally employed
No,Urban,22,Secondary education,Self employed
No,Urban,16,Secondary education,No Income
No,Urban,27,Secondary education,Self employed
No,Urban,56,Primary education,Self employed
No,Urban,23,Primary education,Self employed
Yes,Rural,59,Tertiary education,Formally employed Private
No,Urban,63,No formal education,Self employed
No,Urban,39,Primary education,Self employed
No,Urban,44,Primary education,Informally employed
No,Urban,31,No formal education,Informally employed
No,Rural,16,Secondary education,No Income
No,Urban,73,Primary education,Self employed
No,Urban,29,Primary education,Informally employed
No,Urban,75,No formal education,Self employed
Yes,Rural,70,Primary education,Government Dependent
No,Rural,30,Secondary education,Informally employed
No,Urban,44,No formal education,Self employed
No,Urban,62,Primary education,Self employed
No,Urban,24,Primary education,Self employed
No,Urban,23,Primary education,Self employed
No,Urban,36,Primary education,Self employed
No,Urban,28,Primary education,No Income
No,Urban,43,Primary education,Self employed
No,Urban,32,Primary education,Self employed
No,Rural,57,No formal education,Self employed
No,Rural,23,Tertiary education,Informally employed
No,Urban,35,Primary education,Informally employed
No,Rural,30,Tertiary education,Informally employed
No,Urban,37,Primary education,Informally employed
No,Urban,43,Primary education,Self employed
No,Urban,44,Primary education,Self employed
No,Urban,22,Primary education,Self employed
No,Urban,25,Primary education,Remittance Dependent
No,Rural,32,Primary education,Self employed
No,Rural,24,Primary education,Self employed
No,Urban,28,Primary education,Self employed
Yes,Rural,42,Primary education,Informally employed
No,Urban,50,Primary education,Remittance Dependent
No,Urban,22,Primary education,Remittance Dependent
No,Urban,24,Primary education,Self employed
No,Urban,18,Primary education,Self employed
No,Rural,35,Primary education,Informally employed
No,Rural,30,Primary education,Self employed
No,Urban,29,No formal education,Self employed
No,Urban,52,Primary education,Self employed
No,Rural,43,Primary education,Self employed
No,Urban,45,Primary education,Self employed
No,Urban,48,No formal education,Self employed
No,Urban,47,Primary education,Self employed
No,Urban,33,No formal education,Self employed
No,Urban,55,Primary education,Self employed
No,Urban,22,Primary education,Informally employed
No,Urban,78,No formal education,Self employed
No,Urban,74,Primary education,Self employed
No,Rural,52,Primary education,Self employed
No,Urban,24,Primary education,Remittance Dependent
No,Urban,32,Primary education,Self employed
No,Urban,48,Primary education,Self employed
No,Urban,38,No formal education,Remittance Dependent
No,Rural,21,Secondary education,Informally employed
Yes,Urban,25,Secondary education,Formally employed Private
No,Urban,22,Tertiary education,Self employed
No,Urban,81,Primary education,Informally employed
No,Rural,39,Primary education,Self employed
No,Rural,70,Primary education,Other Income
Yes,Rural,28,Tertiary education,Self employed
No,Urban,35,Primary education,Self employed
Yes,Rural,46,Primary education,Formally employed Private
No,Urban,53,Primary education,Self employed
No,Urban,43,Primary education,Self employed
No,Urban,82,No formal education,Self employed
No,Rural,20,Primary education,Self employed
No,Urban,46,Primary education,Self employed
Yes,Rural,29,Tertiary education,Self employed
No,Urban,37,Tertiary education,Informally employed
No,Urban,35,Primary education,Self employed
No,Urban,48,No formal education,Self employed
No,Rural,38,Primary education,Self employed
No,Urban,28,Primary education,Self employed
No,Rural,28,Primary education,Informally employed
No,Rural,22,Secondary education,Self employed
No,Urban,30,Primary education,Informally employed
No,Urban,31,Primary education,Informally employed
No,Urban,41,Primary education,Informally employed
No,Urban,32,Primary education,Self employed
No,Urban,30,Primary education,Self employed
Yes,Urban,26,Primary education,Self employed
No,Urban,75,No formal education,Self employed
No,Rural,35,Primary education,Informally employed
No,Urban,90,No formal education,Self employed
No,Rural,22,Vocational/Specialised training,Remittance Dependent
No,Urban,60,No formal education,Self employed
No,Urban,70,Primary education,Self employed
No,Rural,33,Primary education,Remittance Dependent
No,Urban,35,Primary education,Self employed
No,Urban,23,Primary education,Self employed
No,Urban,20,Primary education,Self employed
